,Critics Score,Release Date,Title,User Score
91,75,"Oct 16, 2018",LEGODCSuper-Villains(Switch),7.5
92,75,"Dec 21, 2018",Marvel'sSpider-Man:SilverLining(PS4),6.2
93,74,"Oct 11, 2018",TrickyTowers(Switch),7.5
94,74,"Oct 16, 2018",LEGODCSuper-Villains(PS4),6.5
95,74,"Oct 18, 2018",TheRoom(Switch),7.5
96,74,"Dec  4, 2018",PersonaDancing:EndlessNightCollection(PS4),6.9
97,74,"Oct 16, 2018",Starlink:BattleforAtlas(Switch),7.9
98,74,"Oct 26, 2018",CastlevaniaRequiem:SymphonyoftheNight&RondoofBlood(PS4),7.0
99,74,"Nov  6, 2018",GRIP:CombatRacing(PC),7.5
100,,,DaysGone,
101,,,KingdomHearts:All-in-OnePackage,
102,,,BumSimulator,
103,,,FitnessBoxing,
104,74,"Oct 12, 2018",Luigi'sMansion(3DS),8.4
105,73,"Dec  4, 2018",Persona3:DancinginMoonlight(PS4),6.1
106,73,"Nov 19, 2018",FarmingSimulator19(PC),6.6
107,73,"Dec  7, 2018",PlayerUnknown'sBattlegrounds(PS4),3.4
108,73,"Nov 15, 2018",BattlefieldV(PS4),2.0
109,73,"Dec  5, 2018",BattlePrincessMadelyn(PC),7.1
110,73,"Oct 16, 2018",NBA2KPlaygrounds2(PS4),6.1
111,73,"Nov 20, 2018",BendyandtheInkMachine(XONE),8.2
112,73,"Nov 30, 2018",RIDE3(PS4),7.2
113,73,"Oct 18, 2018",BlackBird(Switch),tbd
114,73,"Oct 30, 2018",LEGOHarryPotterCollection(Switch),7.4
115,73,"Oct  9, 2018",SpaceHulk:Tactics(PC),5.3
116,73,"Dec  4, 2018",Persona5:DancinginStarlight(PS4),8.0
117,72,"Oct 16, 2018",LEGODCSuper-Villains(XONE),7.0
118,72,"Oct 30, 2018",LEGOHarryPotterCollection(XONE),tbd
119,72,"Nov 27, 2018",DarksidersIII(PC),7.5
120,72,"Dec 11, 2018",EarthDefenseForce5(PS4),6.7
121,72,"Oct 18, 2018",Zarvot(Switch),7.0
122,72,"Oct 16, 2018",WarriorsOrochi4(PS4),7.2
123,72,"Oct 23, 2018",JustDance2019(Switch),6.3
124,71,"Nov  6, 2018",WorldofFinalFantasyMaxima(PS4),7.1
125,71,"Nov  7, 2018",LeisureSuitLarry:WetDreamsDon'tDry(PC),6.4
126,71,"Dec 14, 2018",Borderlands2VR(PS4),7.3
127,71,"Dec 14, 2018",Below(PC),7.0
128,71,"Nov  6, 2018",GRIP:CombatRacing(PS4),4.8
129,71,"Oct 11, 2018",Joggernauts(Switch),tbd
130,71,"Oct  9, 2018",SpaceHulk:Tactics(XONE),7.2
131,71,"Nov 20, 2018",Squishies(PS4),tbd
132,70,"Dec 13, 2018",AtariFlashbackClassics(Switch),tbd
133,70,"Nov  8, 2018",SkyForceAnniversary(Switch),tbd
134,70,"Dec  4, 2018",JustCause4(PC),5.2
135,70,"Oct 16, 2018",Starlink:BattleforAtlas(PS4),5.5
136,70,"Nov 20, 2018",Marvel'sSpider-Man:TurfWars(PS4),5.9
137,70,"Nov  2, 2018",TaikonoTatsujin:DrumSession!(PS4),tbd
138,70,"Dec  4, 2018",JustCause4(XONE),6.3
139,70,"Dec  6, 2018",TheLastRemnantRemastered(PS4),tbd
140,70,"Oct  9, 2018",MyMemoryofUs(PC),7.0
141,69,"Nov 27, 2018",DarksidersIII(XONE),7.5
142,69,"Dec  4, 2018",Arca'sPathVR(PS4),tbd
143,69,"Nov  6, 2018",GRIP:CombatRacing(XONE),6.5
144,69,"Oct 26, 2018",MyHeroOne'sJustice(Switch),7.0
145,69,"Nov  7, 2018",TSIOQUE(PC),8.2
146,69,"Oct 10, 2018",MyMemoryofUs(XONE),tbd
147,68,"Dec  7, 2018",Iris.Fall(PC),6.6
148,68,"Oct 16, 2018",WarriorsOrochi4(XONE),7.3
149,68,"Nov  6, 2018",Deracine(PS4),7.9
150,68,"Oct 30, 2018",MutantFootballLeague:DynastyEdition(Switch),7.2
151,68,"Oct 16, 2018",HomeSweetHome(PS4),4.7
152,68,"Oct  9, 2018",SpaceHulk:Tactics(PS4),tbd
153,68,"Dec 14, 2018",Below(XONE),7.1
154,68,"Oct 26, 2018",MyHeroOne'sJustice(PS4),7.5
155,67,"Dec  4, 2018",Toki(Switch),6.9
156,67,"Nov  7, 2018",SteelRats(PS4),6.8
157,67,"Oct  9, 2018",MyMemoryofUs(PS4),5.7
158,67,"Oct 30, 2018",SavemeMrTako:TasuketeTako-San(Switch),7.1
159,67,"Oct 29, 2018",CallofCthulhu(PC),7.0
160,66,"Nov  6, 2018",TheShapeshiftingDetective(PS4),tbd
161,66,"Oct 30, 2018",CallofCthulhu(XONE),5.9
